index,0
Afghanistan,-13.541590481336524
Albania,-32.59041215255655
Algeria,-22.979655863520858
Angola,-21.824014871763545
Antigua and Barbuda,-20.038371898341264
Argentina,-42.68836039214624
Armenia,-10.596397248631426
Australia,-22.731609115864394
Austria,-30.49748781586074
Azerbaijan,-12.552102862233738
Bahamas,-42.77837981125108
Bahrain,-22.552002332445458
Bangladesh,-23.18422733414576
Barbados,-23.42944353757929
Belarus,-10.385317951527565
Belgium,-26.85527695742359
Belize,0.0
Benin,-22.14574597413084
Bhutan,-23.555892705917366
Bolivia,-35.98236724794056
Bosnia and Herzegovina,-31.819502336267586
Botswana,-18.151736336422545
Brazil,-47.62091715780456
Brunei Darussalam,-15.569914705174728
Bulgaria,-34.042497682412005
Burkina Faso,-23.357514307425294
Burundi,-18.729832033628217
Cabo Verde,-25.329435377174097
Cambodia,-34.22275549462599
Cameroon,-23.02923863801583
Canada,-32.843413081787304
Central African Republic,-23.196176547132296
Chile,-48.15001310867016
China,-22.835527507102388
Colombia,-40.376063487105164
Comoros,-20.87763984883477
Congo Republic,-23.922845143584663
Cook Islands,-39.95834589004516
Costa Rica,-34.06824254602572
Cote d'Ivoire,-28.82329914237628
Croatia,-27.825890542975092
Cuba,-29.586426908187462
Cyprus,-33.08770164817905
Czechia,-28.008738546262542
DR Congo,-30.21860346873076
Denmark,-25.578089869665767
Djibouti,-23.257952471098335
Dominica,-20.545435960113085
Dominican Republic,-44.0550717985752
Ecuador,-45.3036804428692
Egypt,-36.29335081109335
El Salvador,-32.993019921868715
Equatorial Guinea,-19.23729235840522
Eritrea,-23.052295189400418
Estonia,-26.649766515985807
Eswatini,-17.381768851207006
Ethiopia,-24.055486860288568
Faroe Islands,-35.40604114532471
Fiji,-32.20379350123231
Finland,-29.347741910833204
France,-25.592613669856483
French Polynesia,-31.47550752141119
Gabon,-15.415915084251283
Gambia,-23.37322524396366
Georgia,-17.00220289877079
Germany,-28.348922471092656
Ghana,-23.845622202214436
Greece,-25.88114674396221
Grenada,-18.568187952041626
Guatemala,-35.84034936228393
Guinea,-23.42264470833474
Guinea-Bissau,-34.81052551752934
Guyana,-20.892995595932
Haiti,-42.984820155279955
Honduras,-35.17692982579418
Hong Kong,-23.807704605774834
Hungary,-28.738122622329946
Iceland,-23.889510202793414
India,-28.06112585653259
Indonesia,-22.790865474035623
Iran,-23.506677673588143
Iraq,-19.671100088423827
Ireland,-27.63385000492852
Israel,-26.43871901574523
Italy,-23.090426822066085
Jamaica,-14.566981765386137
Japan,-29.67090143011597
Jordan,-28.405232470955543
Kazakhstan,-13.3140372087816
Kenya,-18.35580543118538
Kiribati,-18.876662432354163
Kuwait,-23.324273925622595
Kyrgyz Republic,-10.550103452917632
Laos,-17.7126437670505
Latvia,-27.452618778281835
Lebanon,-30.05015408629991
Lesotho,-17.56779014052658
Liberia,-23.64868434227417
Libya,-32.45534139161755
Lithuania,-23.130425496835898
Luxembourg,-28.201384628092796
Macau,-29.267240372329766
Madagascar,-23.039803258016782
Malawi,-21.6481525418956
Malaysia,-24.800399022262507
Maldives,-22.773330597543506
Mali,-25.509852730997384
Malta,-25.095496152858892
Marshall Islands,-16.96944798922437
Mauritania,-18.59167655272708
Mauritius,-18.71066761590803
Mexico,-37.51052804937929
Moldova,-27.82013490399617
Mongolia,-35.75977505887466
Montenegro,-32.97699140395295
Morocco,-22.507853828502654
Mozambique,-24.698126400069693
Myanmar,-18.373151802882045
Namibia,-19.81756026288941
Nauru,-11.995223199131347
Nepal,-23.61847251882157
Netherlands,-27.570953418428306
New Caledonia,-16.814020276069634
New Zealand,-23.346298323623476
Nicaragua,-42.37627545188099
Niger,-26.166757946984266
Nigeria,-23.798998843509374
North Korea,-39.51033799534361
North Macedonia,-31.963571906089783
Norway,-26.45872498235331
Oman,-19.992897530304838
Pakistan,-33.08572345748749
Palestine,-50.54872961079264
Panama,-42.960295785595484
Papua New Guinea,-27.164926962328828
Paraguay,-20.892995595932
Peru,-33.006377925453656
Philippines,-36.16134674882442
Poland,-26.40881569615083
Portugal,-27.120281028842758
Qatar,-24.017049188541463
Romania,-29.836199399064583
Russia,-19.299077078734243
Rwanda,-13.771523161726448
Samoa,-18.939863527080426
Sao Tome and Principe,-24.63480076159918
Saudi Arabia,-23.65187564766863
Senegal,-22.89449428833387
Serbia,-35.31217265652194
Seychelles,-21.506898391429477
Sierra Leone,-31.831834558913087
Singapore,-25.854425102642143
Slovakia,-27.521467769765053
Slovenia,-27.68648130291716
Solomon Islands,-24.213772995614633
Somalia,-21.89512673465938
South Africa,-18.239827639515255
South Korea,-37.71754629606113
South Sudan,-23.258998000585564
Spain,-30.92200669886791
Sri Lanka,-23.671467499277234
St. Kitts and Nevis,-32.71788990743049
St. Lucia,-20.03104936882936
St. Vincent and the Grenadines,-19.340498435876235
Sudan,-29.965503349968216
Suriname,-24.286543276915864
Sweden,-25.53982252917238
Switzerland,-26.165346420226726
Syria,-44.949308559197156
Taiwan,-37.07204533840229
Tajikistan,-4.34721128389853
Tanzania,-17.276837041429285
Thailand,-25.25960022416667
Timor-Leste,-29.180226351437184
Togo,-23.784695848396467
Tonga,-39.958345890045166
Trinidad and Tobago,-19.04746146533482
Tunisia,-16.41821434252457
Turkmenistan,-4.640128046545398
Tuvalu,-24.65477334903767
Türkiye,-34.28221517301857
Uganda,-10.751500506368606
Ukraine,-41.54695323939851
United Arab Emirates,-20.46113820085506
United Kingdom,-26.609424772733696
United States,-21.676089267698163
Uruguay,0.0
Uzbekistan,-13.161578219067124
Vanuatu,-19.56991562880708
