index,0
Afghanistan,-74.79782592405672
Albania,-5.062870507564417
Algeria,-21.732746363894694
Angola,-57.76171349435694
Argentina,0.0
Armenia,-92.88373829644601
Australia,9.119999999999996
Austria,-37.20545607355948
Azerbaijan,-89.61849821185497
Bahamas,-51.3935088126114
Bahrain,-11.984925589018145
Bangladesh,-31.169407430590425
Barbados,-49.61
Belarus,-72.85745319906356
Belgium,-32.791760778996995
Belize,-51.39350783688461
Benin,-91.87782069583837
Bhutan,-7.560000000000007
Bosnia and Herzegovina,-0.014913395290406525
Botswana,-28.548265502858435
Brazil,-28.2210029904063
Bulgaria,-40.15057849445868
Burkina Faso,-23.4206403247003
Burundi,-69.569502122414
Cabo Verde,-71.99875289914188
Cameroon,-44.35430186947099
Canada,-48.841889035196516
Central African Republic,-27.624440864646427
Chile,-47.73442644861971
China,-32.80729270706314
Colombia,-74.10794148459506
Congo Republic,-45.65172270449301
Costa Rica,-79.87224163307538
Cote d'Ivoire,-38.527898027271206
Croatia,-10.658775567828728
Cuba,-34.1318377410978
Cyprus,-18.295428894385935
Czechia,-40.674632491736034
DR Congo,-60.04589582960398
Denmark,-83.11732809738263
Djibouti,-32.218697590907674
Dominican Republic,-67.55572834931233
Ecuador,-67.29669578392935
Egypt,-58.83915909852847
El Salvador,-60.39802981982565
Eritrea,-56.68
Estonia,-73.47004800007083
Eswatini,-28.593881490314544
Ethiopia,-50.56723345683445
Faroe Islands,-99.74308400538516
Fiji,-10.399999999999999
Finland,-89.18468119438657
France,-59.59679402752662
French Polynesia,-10.399999999999993
Gabon,-23.029671229899417
Gambia,-44.60552320492078
Georgia,-91.38638996590362
Germany,-59.2045070917971
Ghana,-72.88007508904121
Greece,-10.181749497936874
Grenada,-51.3935078368846
Guatemala,-70.45625438436748
Guinea,-71.54752372442653
Guyana,-77.13838484983272
Haiti,-60.352899540753036
Honduras,-51.36675685981287
Hong Kong,-30.925316668193435
Hungary,-35.63211902537155
Iceland,-82.70857628936653
India,-59.503200411635824
Indonesia,-29.74226975890421
Iran,-71.46426697005805
Iraq,-33.83749797062755
Ireland,-69.18847195542163
Israel,-68.2036549573487
Italy,-31.000779709253028
Jamaica,-58.14221912566525
Japan,-58.111868042724055
Jordan,-18.378650478603575
Kazakhstan,-92.88707183445204
Kenya,-51.99047851844539
Kuwait,-27.172348605420503
Kyrgyz Republic,-92.315963285913
Latvia,-95.27957913908102
Lebanon,-34.39518248642669
Lesotho,-28.548265502858445
Liberia,-80.84917163562827
Libya,-29.5555629584983
Lithuania,-90.38244017263057
Luxembourg,-29.875276419004788
Madagascar,-85.76476966451729
Malawi,-22.759295655775638
Malaysia,-26.18041243679679
Mali,-33.704703896597074
Malta,-49.697465730550086
Mauritania,-38.871816272644196
Mauritius,-14.047533845238405
Mexico,-54.5200928906516
Moldova,-46.82859745340237
Mongolia,-92.89
Montenegro,9.119999999999996
Morocco,-38.467807108561544
Mozambique,-62.25443814625036
Myanmar,-20.615695872211422
Namibia,-60.45453254871903
Nepal,-7.559999999999996
Netherlands,-43.583541232557195
New Caledonia,-10.399999999999995
New Zealand,-10.4
Nicaragua,-68.96441913451186
Nigeria,-70.92924676449638
North Macedonia,7.192857439352636
Norway,-88.89929128259165
Oman,-14.993864098462181
Pakistan,-48.73605913948452
Panama,-51.393507838170606
Papua New Guinea,-10.400000000000004
Paraguay,0.0
Peru,-65.28467793572875
Philippines,-29.83991024404633
Poland,-49.44357110829991
Portugal,-31.09351946780269
Qatar,-12.6596597199776
Romania,-31.125939704019768
Russia,-58.32547131259801
Rwanda,-53.7433559265497
Saudi Arabia,-64.5935116855287
Senegal,-53.784354831730674
Serbia,-3.80425510901812
Seychelles,-47.209999999999994
Sierra Leone,-99.15
Singapore,-38.48939395126906
Slovakia,-47.47166122390147
Slovenia,0.0
Solomon Islands,-10.399999999999995
Somalia,-47.48696189844014
South Africa,-42.617507622628835
South Korea,-26.646768296214518
Spain,-46.724338514433065
Sri Lanka,-16.749409025719302
St. Lucia,-74.35538806479501
St. Vincent and the Grenadines,-51.3935078368846
Sudan,-26.37196732072712
Suriname,-71.80019165444669
Sweden,-82.60349331704202
Switzerland,-40.5979644032005
Syria,-15.64230256266232
Taiwan,-38.47972285576603
Tajikistan,-78.48521256484825
Tanzania,-50.90492214698115
Thailand,-33.82809243411478
Togo,-69.8022833235969
Trinidad and Tobago,-51.39350783688459
Tunisia,-17.800272666373683
Turkmenistan,-78.46576247048752
Türkiye,-78.44229287862278
Uganda,-30.84532251897206
Ukraine,0.0
United Arab Emirates,-38.29685806103292
United Kingdom,-66.89015466015671
United States,-96.9764924929312
Uruguay,-23.567259909607813
Uzbekistan,-78.57201829570865
Venezuela,-69.99474122293151
Vietnam,-17.037997761582535
Yemen,-24.983001326854744
Zambia,-28.59391661331527
Zimbabwe,-35.42959923663063
