country,calorie_weighted_total_change_pct,calorie_weighted_climate_only_change_pct,calorie_weighted_irrigation_loss_pct,wheat_total_change_pct,wheat_climate_only_pct,wheat_irrigation_loss_pct,wheat_baseline_production_mt,wheat_collapsed_production_mt,rice_total_change_pct,rice_climate_only_pct,rice_irrigation_loss_pct,rice_baseline_production_mt,rice_collapsed_production_mt,maize_total_change_pct,maize_climate_only_pct,maize_irrigation_loss_pct,maize_baseline_production_mt,maize_collapsed_production_mt
Côte d'Ivoire,0.18,0.25,-0.07,,,,,,-0.93,-0.81,-0.12,2.05,2.03,1.79,1.79,-0.0,1.11,1.13
Azerbaijan,0.27,2.4,-2.13,0.27,2.34,-2.07,3.28,3.29,2.66,9.11,-6.46,0.02,0.02,0.07,3.12,-3.05,0.14,0.14
Indonesia,0.28,0.29,-0.01,,,,,,-0.01,0.01,-0.01,28.96,28.95,0.93,0.93,-0.0,10.12,10.21
Somalia,0.33,1.15,-0.82,,,,,,-2.46,-0.17,-2.29,0.01,0.01,0.41,1.19,-0.77,0.18,0.18
Dem. Rep. Congo,0.45,0.45,-0.0,1.75,1.75,0.0,0.02,0.02,-1.0,-1.0,-0.01,4.17,4.13,1.21,1.21,-0.0,6.16,6.24
Tanzania,0.61,0.61,-0.0,3.8,3.8,0.0,0.1,0.11,2.66,2.67,-0.01,2.74,2.81,-0.01,-0.01,-0.0,7.66,7.66
Sri Lanka,0.62,1.23,-0.61,,,,,,0.7,1.34,-0.64,6.56,6.61,-0.64,-0.62,-0.02,0.32,0.32
Lebanon,0.7,0.7,0.0,0.78,0.78,0.0,0.17,0.17,,,,,,-1.57,-1.57,0.0,0.01,0.01
Philippines,0.8,0.88,-0.08,,,,,,-0.07,0.07,-0.14,11.77,11.76,2.17,2.17,-0.0,5.84,5.97
Belize,0.81,1.06,-0.26,17.62,17.62,0.0,0.0,0.0,-10.67,-8.95,-1.72,0.01,0.01,1.8,1.93,-0.13,0.1,0.1
Kenya,0.85,0.87,-0.01,1.04,1.04,0.0,0.39,0.39,-0.56,-0.47,-0.09,0.15,0.15,0.88,0.89,-0.01,3.58,3.61
Guyana,0.87,0.97,-0.1,,,,,,0.82,0.92,-0.1,0.81,0.82,2.24,2.24,0.0,0.02,0.02
Thailand,0.99,1.18,-0.19,5.53,5.53,0.0,0.0,0.0,0.88,1.09,-0.21,60.61,61.15,2.16,2.16,0.0,4.26,4.36
Yemen,1.03,3.65,-2.62,4.41,6.8,-2.39,0.13,0.14,,,,,,-1.85,0.96,-2.81,0.15,0.14
Laos,1.03,1.25,-0.22,4.03,4.03,0.0,0.0,0.0,0.86,1.1,-0.24,6.39,6.44,2.34,2.34,0.0,0.66,0.67
Peru,1.07,1.08,-0.0,3.33,3.33,0.0,0.36,0.38,-0.46,-0.46,-0.0,2.33,2.32,1.76,1.77,-0.0,2.96,3.01
Rwanda,1.09,1.09,-0.0,1.45,1.45,0.0,0.02,0.02,-3.43,-3.42,-0.01,0.12,0.11,1.82,1.82,0.0,0.56,0.57
Syria,1.14,2.94,-1.8,1.45,3.02,-1.57,6.08,6.16,-64.21,-63.76,-0.45,0.0,0.0,-3.58,1.69,-5.27,0.36,0.35
Sierra Leone,1.17,1.17,0.0,,,,,,1.17,1.17,0.0,0.44,0.44,1.35,1.35,0.0,0.01,0.01
Nigeria,1.26,1.65,-0.39,-9.1,10.06,-19.16,0.13,0.12,2.55,2.76,-0.21,10.21,10.47,0.34,0.65,-0.3,9.95,9.98
Angola,1.31,1.31,-0.0,1.99,1.99,0.0,0.01,0.01,-3.24,-3.24,0.0,0.07,0.07,1.37,1.37,-0.0,3.67,3.72
Bangladesh,1.35,2.26,-0.91,-3.64,6.66,-10.3,0.61,0.59,1.26,2.03,-0.77,55.07,55.76,3.94,5.09,-1.15,2.65,2.75
South Africa,1.37,1.37,-0.0,0.43,0.43,-0.0,1.74,1.74,0.69,0.8,-0.11,0.01,0.01,1.54,1.54,-0.0,9.19,9.33
Vietnam,1.39,1.75,-0.37,,,,,,1.31,1.72,-0.41,25.87,26.21,1.99,2.02,-0.03,2.71,2.76
Brazil,1.59,1.59,-0.0,3.72,3.72,-0.0,7.89,8.19,-0.16,-0.15,-0.02,16.34,16.31,1.65,1.65,-0.0,115.56,117.47
Cuba,1.64,2.72,-1.08,,,,,,-0.28,1.37,-1.65,0.45,0.45,3.66,4.14,-0.47,0.34,0.35
Bolivia,1.69,1.69,-0.0,1.91,1.91,-0.0,0.58,0.59,1.16,1.16,-0.0,1.32,1.34,1.89,1.89,-0.0,2.06,2.1
Mexico,1.72,2.03,-0.31,5.78,7.24,-1.46,2.7,2.86,-1.14,0.97,-2.1,0.4,0.4,1.5,1.73,-0.23,42.54,43.18
Ecuador,1.81,1.82,-0.01,0.1,0.1,0.0,0.02,0.02,1.57,1.59,-0.02,1.97,2.01,2.06,2.06,-0.0,1.67,1.71
Colombia,2.12,2.43,-0.3,3.21,3.21,0.0,0.01,0.01,1.61,2.19,-0.59,2.29,2.32,2.67,2.68,-0.0,1.67,1.72
Costa Rica,2.23,4.21,-1.98,,,,,,1.72,4.03,-2.32,0.18,0.19,5.17,5.21,-0.04,0.03,0.03
Congo,2.32,2.32,0.0,4.64,4.64,0.0,0.0,0.0,-1.43,-1.43,0.0,0.04,0.04,3.54,3.54,0.0,0.09,0.09
New Caledonia,2.45,2.45,0.0,1.32,1.32,0.0,0.0,0.0,,,,,,2.54,2.54,0.0,0.01,0.01
Greece,2.55,5.11,-2.57,4.82,4.95,-0.13,1.65,1.73,1.81,9.85,-8.05,0.31,0.31,-0.8,4.21,-5.01,1.0,0.99
Malaysia,2.66,2.9,-0.24,,,,,,2.55,2.79,-0.25,3.04,3.12,7.89,7.89,-0.0,0.05,0.06
Spain,2.75,4.0,-1.25,6.42,6.46,-0.04,9.73,10.36,-9.43,-5.21,-4.22,0.89,0.81,-4.42,-0.59,-3.83,3.48,3.32
Timor-Leste,2.76,2.76,0.0,,,,,,0.54,0.54,0.0,0.08,0.08,4.73,4.73,0.0,0.07,0.07
Brunei,3.08,3.13,-0.05,,,,,,3.08,3.13,-0.05,0.01,0.01,7.21,7.21,0.0,0.0,0.0
Guinea-Bissau,3.08,5.13,-2.04,,,,,,2.12,4.31,-2.18,0.7,0.71,9.24,10.36,-1.12,0.09,0.09
Guinea,3.19,3.89,-0.7,,,,,,3.6,4.49,-0.89,4.27,4.42,1.65,1.65,0.0,0.89,0.9
Botswana,3.6,3.6,0.0,5.65,5.65,0.0,0.0,0.0,,,,,,3.57,3.57,0.0,0.11,0.11
Taiwan,3.7,3.85,-0.15,4.97,4.97,0.0,0.01,0.01,3.82,4.0,-0.18,1.08,1.12,3.1,3.1,0.0,0.19,0.19
Panama,3.75,4.07,-0.32,,,,,,2.64,2.89,-0.25,0.53,0.55,6.11,6.58,-0.47,0.2,0.21
Italy,3.97,4.35,-0.38,6.95,6.96,-0.01,5.17,5.53,4.05,5.14,-1.09,1.15,1.19,0.05,0.74,-0.69,3.7,3.7
Gabon,4.15,4.15,0.0,,,,,,1.21,1.21,0.0,0.0,0.0,4.34,4.34,0.0,0.05,0.05
